city|location|price|bedrooms|baths|size
Lahore|Bahria Town - Sector C, Bahria Town|15000000|3|4|1125
Lahore|Johar Town Phase 2, Johar Town|62500000|5|6|2700
Lahore|DHA Phase 7, DHA Defence|65000000|5|6|4500
Lahore|DHA Phase 8, DHA Defence|47500000|4|5|2250
Lahore|DHA Phase 5, DHA Defence|78000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|38000000|4|5|2250
Lahore|State Life Housing Society, Lahore|39000000|4|5|2250
Lahore|Green City, Lahore|43500000|5|6|2250
Lahore|New Super Town, Lahore|55000000|6|6|4500
Lahore|Lake City - Sector M-2A, Lake City|40000000|5|6|2250
Lahore|DHA Phase 6 - Block D, DHA Phase 6|370000000|5|6|9000
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|17500000|3|4|1125
Lahore|Bahria Town - Sector B, Bahria Town|40000000|5|6|2250
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|52000000|4|4|2250
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|53500000|4|4|2250
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|13500000|2|2|1012
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|78500000|5|6|4500
Lahore|HBFC Housing Society - Block B, HBFC Housing Society|65000000|6|0|4500
Lahore|DHA Phase 5 - Block B, DHA Phase 5|25000000|3|4|1125
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|37500000|4|5|2250
Lahore|Military Accounts Housing Society, Lahore|23500000|5|6|1800
Lahore|DHA Phase 6 - Block F, DHA Phase 6|120000000|5|6|4500
Lahore|Central Park - Block G, Central Park Housing Scheme|29500000|5|6|2475
Lahore|Johar Town, Lahore|42500000|7|0|2250
Lahore|Wapda Town, Lahore|67000000|6|7|4500
Lahore|DHA 11 Rahbar Phase 2 Extension - Block P, DHA 11 Rahbar Phase 2 Extension|20000000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|37000000|4|5|2250
Lahore|DHA 9 Town, DHA Defence|18800000|3|5|1125
Lahore|DHA Phase 6, DHA Defence|44000000|4|5|2250
Lahore|DHA Phase 5 - Block K, DHA Phase 5|95500000|6|8|4500
Lahore|DHA Phase 7, DHA Defence|72500000|5|6|4500
Lahore|Johar Town, Lahore|25000000|5|5|1125
Lahore|Al-Kabir Phase 2 - Block C, Al-Kabir Town - Phase 2|11000000|3|3|675
Lahore|Izmir Town, Lahore|56000000|4|4|4500
Lahore|Johar Town Phase 2, Johar Town|23500000|5|6|1125
Lahore|DHA Phase 8 - Ex Park View, DHA Phase 8|69900000|5|6|4500
Lahore|Pak Arab Housing Society, Lahore|8600000|3|4|788
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|41000000|5|6|2250
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|62000000|5|6|2700
Lahore|Bahria Town - Sector C, Bahria Town|35000000|5|6|2250
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|38500000|5|6|2250
Lahore|Bahria Town - Sector B, Bahria Town|19800000|3|4|1125
Lahore|Bahria Town - Iris Block, Bahria Town - Sector C|39000000|5|6|2250
Lahore|Bahria Town - Block BB, Bahria Town - Sector D|23000000|3|4|1125
Lahore|Bahria Town - Iris Block, Bahria Town - Sector C|38500000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|62500000|5|6|2700
Lahore|Wapda Town Phase 1, Wapda Town|75000000|5|6|4500
Lahore|Wapda Town Phase 1, Wapda Town|48000000|5|6|2250
Lahore|Johar Town Phase 1, Johar Town|32500000|5|6|2700
Lahore|Gulberg, Lahore|81900000|3|3|2812
Lahore|DHA Phase 7, DHA Defence|34800000|4|5|2250
Lahore|DHA Phase 6, DHA Defence|77500000|5|6|4500
Lahore|Bahria Town - Safari Villas, Bahria Town - Sector B|18000000|3|4|1800
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|38500000|5|6|2250
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|18000000|3|4|1125
Lahore|Johar Town, Lahore|24500000|5|5|1125
Lahore|Johar Town, Lahore|39500000|5|5|2700
Lahore|Rehan Garden Phase 2, Rehan Garden|9500000|3|4|1125
Lahore|Rehan Garden Phase 2, Rehan Garden|11000000|6|6|1125
Lahore|Askari 11 - Sector B Apartments, Askari 11|25000000|3|3|2250
Lahore|Askari 11 - Sector A, Askari 11|38500000|3|4|2250
Lahore|New Lahore City, Lahore|14000000|3|3|1125
Lahore|DHA Phase 5 - Block L, DHA Phase 5|54500000|4|5|2250
Lahore|DHA Phase 5 - Block K, DHA Phase 5|51500000|4|5|2250
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|53500000|4|5|2250
Lahore|DHA Phase 5 - Block L, DHA Phase 5|52500000|5|6|2250
Lahore|Bahria Town - Overseas B, Bahria Town - Overseas Enclave|29500000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|47000000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|44000000|5|6|2250
Lahore|Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue|51500000|5|5|2475
Lahore|Gulberg, Lahore|39300000|1|1|1305
Lahore|DHA Phase 6, DHA Defence|350000000|6|7|9000
Lahore|Gulberg, Lahore|15000000|0|1|652
Lahore|Gulberg, Lahore|50000000|2|2|1935
Lahore|DHA Phase 5, DHA Defence|53500000|4|5|2250
Lahore|DHA 9 Town, DHA Defence|18500000|3|4|1125
Lahore|DHA Phase 5, DHA Defence|58000000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|75000000|5|6|4500
Lahore|Valencia - Block F, Valencia Housing Society|41500000|6|7|2250
Lahore|DHA 9 Town, DHA Defence|15000000|3|4|1125
Lahore|Johar Town, Lahore|20500000|5|5|1125
Lahore|Johar Town, Lahore|20000000|5|5|1125
Lahore|Askari 11 - Sector B Apartments, Askari 11|24500000|3|3|2250
Lahore|Askari 11 - Sector B Apartments, Askari 11|33000000|3|3|2250
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|24500000|3|4|1125
Lahore|Askari 11 - Sector B Apartments, Askari 11|26500000|3|3|2250
Lahore|Askari 11 - Sector B Apartments, Askari 11|30000000|4|5|2700
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|18500000|3|4|1125
Lahore|DHA 9 Town - Block C, DHA 9 Town|27500000|3|4|1125
Lahore|DHA 9 Town - Block D, DHA 9 Town|40000000|4|5|1800
Lahore|Bahria Town - Nargis Block, Bahria Town - Sector C|35500000|5|6|2250
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|56100000|4|5|2250
Lahore|DHA 9 Town, DHA Defence|25000000|4|4|1125
Lahore|Bahria Town - Talha Block, Bahria Town - Sector E|39000000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|47500000|5|6|2250
Lahore|DHA Phase 5, DHA Defence|350000000|6|7|9000
Lahore|Wapda Town Phase 1 - Block F1, Wapda Town Phase 1|60000000|5|5|4500
Lahore|Askari 10 - Sector F, Askari 10|82500000|5|5|3825
Lahore|SJ Garden, Bedian Road|11000000|3|4|1125
Lahore|Askari 10 - Sector F, Askari 10|70000000|4|4|3825
Lahore|State Life Housing Society, Lahore|77500000|5|6|4500
Lahore|DHA 9 Town - Block A, DHA 9 Town|26000000|3|4|1125
